2D,goodsCategoryId,int,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
cityId,int,Y,食品,调味料,珍品,香辣料,嗜好品,酒类,贵金属,工艺品,纤维,纺织品,奢侈品,香料,装饰品,宝石,药,染料,武器,矿石,杂货
int,,subtype,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;,;
0,伦敦,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,布里斯特,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
2,阿姆斯特丹,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,布鲁日,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
4,南特,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,汉堡,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
6,卢比克,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
7,斯德哥尔摩,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
8,奥斯陆,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,哥本哈根,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
10,里加,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
11,里斯本,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
12,休达,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
13,塞尔维亚,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
14,瓦伦西亚,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
15,热那亚,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
16,马赛,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
17,西拉库萨,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
18,威尼斯,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
19,雅典,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
20,克里特,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
21,塞浦路斯,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
22,伊斯坦堡,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
23,拉古扎,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,贝鲁特,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
25,亚历山大,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
26,的黎波里,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
27,阿尔及尔,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
28,突尼斯,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
29,圣乔治,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
30,马德拉,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,拉斯帕玛斯,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
32,绿角,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
33,卢安达,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
34,索法拉,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
35,开普敦,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
36,莫桑比克,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
37,摩加迪休,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
38,巴斯拉,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
39,亚丁,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
40,马斯喀特,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
41,荷姆兹,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
42,卡里亥特,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
43,哥亚,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
44,锡兰,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
45,加尔各答,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
46,安曼,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
47,马六甲,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
48,文莱,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
49,马尼拉,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
50,雅加达,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
51,巴邻旁,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
52,德尔纳特,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
53,安勃那,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
54,杭州,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
55,泉州,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
56,澳门,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
57,京城,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
58,长崎,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
59,大阪,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
60,那霸,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
61,哈瓦那,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
62,圣多明尼加,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
63,圣约翰,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
64,牙买加,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
65,委拉克路斯,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
66,美利达,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
67,波多韦多,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
68,马拉开波,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
69,伯南布哥,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
70,特卢希优,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
71,卡恩内,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
72,希拉雷奥涅,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
73,圣多美,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
74,马达加斯加,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
75,蒙巴萨,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
76,索哥德拉,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
77,喀拉蚩,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
78,马德拉斯,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
79,马斯利巴丹,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
80,阿镇,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
81,吉阿丁,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
