2D,schooId,string,0,1,2,3,4,5
date,friend_id,writable,普通小学,重点小学,普通初中,重点初中,普通高中,重点高中
string,,SchoolStudy,;,;,;,;,;,;
1994_9_1,加减法,,math_add_minus,math_add_minus,;,;,;,;
1994_9_2,拼音,,chinese_pinyin,chinese_pinyin,;,;,;,;
1994_9_3,放假休息,,no_class,no_class,;,;,;,;
1994_9_4,放假休息,,no_class,no_class,;,;,;,;
1994_9_5,加减法,,math_add_minus,math_add_minus,;,;,;,;
1994_9_6,拼音,,chinese_pinyin,chinese_pinyin,;,;,;,;
1994_9_7,体育课,,physical_class_1,physical_class_1,;,;,;,;
1994_9_8,加减法,,math_add_minus,math_add_minus,;,;,;,;
1994_9_9,拼音,,chinese_pinyin,chinese_pinyin,;,;,;,;
1994_9_10,放假休息,,no_class,no_class,;,;,;,;
1994_9_11,放假休息,,no_class,no_class,;,;,;,;
1994_9_12,加减法,,math_add_minus,math_add_minus,;,;,;,;
1994_9_13,拼音,,chinese_pinyin,chinese_pinyin,;,;,;,;
1994_9_14,尚未配置,,;,;,;,;,;,;
1994_9_15,尚未配置,,;,;,;,;,;,;
1994_9_16,尚未配置,,;,;,;,;,;,;
1994_9_17,尚未配置,,;,;,;,;,;,;
1994_9_18,尚未配置,,;,;,;,;,;,;
1994_9_19,尚未配置,,;,;,;,;,;,;
1994_9_20,尚未配置,,;,;,;,;,;,;
1994_9_21,尚未配置,,;,;,;,;,;,;
1994_9_22,尚未配置,,;,;,;,;,;,;
1994_9_23,尚未配置,,;,;,;,;,;,;
1994_9_24,尚未配置,,;,;,;,;,;,;
1994_9_25,尚未配置,,;,;,;,;,;,;
1994_9_26,尚未配置,,;,;,;,;,;,;
1994_9_27,尚未配置,,;,;,;,;,;,;
1994_9_28,尚未配置,,;,;,;,;,;,;
1994_9_29,尚未配置,,;,;,;,;,;,;
1994_9_30,尚未配置,,;,;,;,;,;,;
1994_10_1,尚未配置,,;,;,;,;,;,;
1994_10_2,尚未配置,,;,;,;,;,;,;
1994_10_3,尚未配置,,;,;,;,;,;,;
1994_10_4,尚未配置,,;,;,;,;,;,;
1994_10_5,尚未配置,,;,;,;,;,;,;
1994_10_6,尚未配置,,;,;,;,;,;,;
1994_10_7,尚未配置,,;,;,;,;,;,;
1994_10_8,尚未配置,,;,;,;,;,;,;
1994_10_9,尚未配置,,;,;,;,;,;,;
1994_10_10,尚未配置,,;,;,;,;,;,;
1994_10_11,尚未配置,,;,;,;,;,;,;
1994_10_12,尚未配置,,;,;,;,;,;,;
1994_10_13,尚未配置,,;,;,;,;,;,;
1994_10_14,尚未配置,,;,;,;,;,;,;
1994_10_15,尚未配置,,;,;,;,;,;,;
1994_10_16,尚未配置,,;,;,;,;,;,;
1994_10_17,尚未配置,,;,;,;,;,;,;
1994_10_18,尚未配置,,;,;,;,;,;,;
1994_10_19,尚未配置,,;,;,;,;,;,;
1994_10_20,尚未配置,,;,;,;,;,;,;
1994_10_21,尚未配置,,;,;,;,;,;,;
1994_10_22,尚未配置,,;,;,;,;,;,;
1994_10_23,尚未配置,,;,;,;,;,;,;
1994_10_24,尚未配置,,;,;,;,;,;,;
1994_10_25,尚未配置,,;,;,;,;,;,;
1994_10_26,尚未配置,,;,;,;,;,;,;
1994_10_27,尚未配置,,;,;,;,;,;,;
1994_10_28,尚未配置,,;,;,;,;,;,;
1994_10_29,尚未配置,,;,;,;,;,;,;
1994_10_30,尚未配置,,;,;,;,;,;,;
1994_10_31,尚未配置,,;,;,;,;,;,;
1994_11_1,尚未配置,,;,;,;,;,;,;
1994_11_2,尚未配置,,;,;,;,;,;,;
1994_11_3,尚未配置,,;,;,;,;,;,;
1994_11_4,尚未配置,,;,;,;,;,;,;
1994_11_5,尚未配置,,;,;,;,;,;,;
1994_11_6,尚未配置,,;,;,;,;,;,;
1994_11_7,尚未配置,,;,;,;,;,;,;
1994_11_8,尚未配置,,;,;,;,;,;,;
1994_11_9,尚未配置,,;,;,;,;,;,;
1994_11_10,尚未配置,,;,;,;,;,;,;
1994_11_11,尚未配置,,;,;,;,;,;,;
1994_11_12,尚未配置,,;,;,;,;,;,;
1994_11_13,尚未配置,,;,;,;,;,;,;
1994_11_14,尚未配置,,;,;,;,;,;,;
1994_11_15,尚未配置,,;,;,;,;,;,;
1994_11_16,尚未配置,,;,;,;,;,;,;
1994_11_17,尚未配置,,;,;,;,;,;,;
1994_11_18,尚未配置,,;,;,;,;,;,;
1994_11_19,尚未配置,,;,;,;,;,;,;
1994_11_20,尚未配置,,;,;,;,;,;,;
1994_11_21,尚未配置,,;,;,;,;,;,;
1994_11_22,尚未配置,,;,;,;,;,;,;
1994_11_23,尚未配置,,;,;,;,;,;,;
1994_11_24,尚未配置,,;,;,;,;,;,;
1994_11_25,尚未配置,,;,;,;,;,;,;
1994_11_26,尚未配置,,;,;,;,;,;,;
1994_11_27,尚未配置,,;,;,;,;,;,;
1994_11_28,尚未配置,,;,;,;,;,;,;
1994_11_29,尚未配置,,;,;,;,;,;,;
1994_11_30,尚未配置,,;,;,;,;,;,;
1994_12_1,尚未配置,,;,;,;,;,;,;
1994_12_2,尚未配置,,;,;,;,;,;,;
1994_12_3,尚未配置,,;,;,;,;,;,;
1994_12_4,尚未配置,,;,;,;,;,;,;
1994_12_5,尚未配置,,;,;,;,;,;,;
1994_12_6,尚未配置,,;,;,;,;,;,;
1994_12_7,尚未配置,,;,;,;,;,;,;
1994_12_8,尚未配置,,;,;,;,;,;,;
1994_12_9,尚未配置,,;,;,;,;,;,;
1994_12_10,尚未配置,,;,;,;,;,;,;
1994_12_11,尚未配置,,;,;,;,;,;,;
1994_12_12,尚未配置,,;,;,;,;,;,;
1994_12_13,尚未配置,,;,;,;,;,;,;
1994_12_14,尚未配置,,;,;,;,;,;,;
1994_12_15,尚未配置,,;,;,;,;,;,;
1994_12_16,尚未配置,,;,;,;,;,;,;
1994_12_17,尚未配置,,;,;,;,;,;,;
1994_12_18,尚未配置,,;,;,;,;,;,;
1994_12_19,尚未配置,,;,;,;,;,;,;
1994_12_20,尚未配置,,;,;,;,;,;,;
1994_12_21,尚未配置,,;,;,;,;,;,;
1994_12_22,尚未配置,,;,;,;,;,;,;
1994_12_23,尚未配置,,;,;,;,;,;,;
1994_12_24,尚未配置,,;,;,;,;,;,;
1994_12_25,尚未配置,,;,;,;,;,;,;
1994_12_26,尚未配置,,;,;,;,;,;,;
1994_12_27,尚未配置,,;,;,;,;,;,;
1994_12_28,尚未配置,,;,;,;,;,;,;
1994_12_29,尚未配置,,;,;,;,;,;,;
1994_12_30,尚未配置,,;,;,;,;,;,;
1994_12_31,尚未配置,,;,;,;,;,;,;
1995_1_1,尚未配置,,;,;,;,;,;,;
1995_1_2,尚未配置,,;,;,;,;,;,;
1995_1_3,尚未配置,,;,;,;,;,;,;
1995_1_4,尚未配置,,;,;,;,;,;,;
1995_1_5,尚未配置,,;,;,;,;,;,;
1995_1_6,尚未配置,,;,;,;,;,;,;
1995_1_7,尚未配置,,;,;,;,;,;,;
1995_1_8,尚未配置,,;,;,;,;,;,;
1995_1_9,尚未配置,,;,;,;,;,;,;
1995_1_10,尚未配置,,;,;,;,;,;,;
1995_1_11,尚未配置,,;,;,;,;,;,;
1995_1_12,尚未配置,,;,;,;,;,;,;
1995_1_13,尚未配置,,;,;,;,;,;,;
1995_1_14,尚未配置,,;,;,;,;,;,;
1995_1_15,尚未配置,,;,;,;,;,;,;
1995_1_16,尚未配置,,;,;,;,;,;,;
1995_1_17,尚未配置,,;,;,;,;,;,;
1995_1_18,尚未配置,,;,;,;,;,;,;
1995_1_19,尚未配置,,;,;,;,;,;,;
1995_1_20,尚未配置,,;,;,;,;,;,;
1995_1_21,尚未配置,,;,;,;,;,;,;
1995_1_22,尚未配置,,;,;,;,;,;,;
1995_1_23,尚未配置,,;,;,;,;,;,;
