fatherJobId,name,selecatable,point,salary,description
id,language,bool,int,int,language
string,chinese,-,-,-,chinese
writable,N,N,N,N,N
worker,工厂工人,1,0,10,工作很辛苦，挣的却不多。
saler,商人,1,100,100,虽然赚的还行，但风险挺高的。
doctor,医生,1,100,30,工作很稳定，而且很有意义。
teacher,老师,1,100,700,工作很稳定，而且很有意义。
civiler,公务员,1,100,1000,工作很稳定，而且收入也挺还不错。
cook,厨师,1,100,600,工作很辛苦，不过挺稳定的。
scientist,科学家,1,100,600,工作很有意思。
writer,作家,1,100,500,收入虽然不稳定，但是他们很热爱这个工作。
driver,出租车司机,1,20,700,很辛苦，不过有机会和不同的人打交道。
layoff_man,下岗工人,0,0,0,没有收入，没有希望。
saler_1,商人,0,0,300,虽然赚的还行，但风险挺高的。
