scheduleId,name,type,subType,condition,proficiency,addProficiency,description,attributeChange
id,language,friend_id,friend_id,string,friend_id,int,language,friend_id_map
string,chinese,ScheduleType,ScheduleSubType,-,Proficiency,-,chinese,Attribute;int
writable,N,N,N,N,N,N,N,N
math_add_minus,加减法,selfStudy,math,TRUE,math_add_minus,6,自学加减法说明,"pressure,2;intelligence,2"
math_mutiple_divide,乘除法,selfStudy,math,int.gamedata.ProficiencyData.math_add_minus.value>=int.60,math_mutiple_divide,6,自学乘除法说明,"pressure,2;intelligence,3"
math_simple_geo,简单几何,selfStudy,math,TRUE,math_simple_geo,6,自学简单几何说明,"pressure,2;intelligence,3"
chinese_pinyin,拼音,selfStudy,chinese,TRUE,chinese_pinyin,6,自学拼音说明,"pressure,2;rememberence,2"
chinese_characters,识字认字,selfStudy,chinese,int.gamedata.ProficiencyData.chinese_pinyin.value>=int.60,chinese_characters,6,自学识字认字说明,"pressure,2;rememberence,2"
chinese_story,讲故事,selfStudy,chinese,TRUE,chinese_story,10,讲故事,"pressure,2"
chinese_writing_1,写作1,selfStudy,chinese,TRUE,chinese_writing_1,10,写作1,"pressure,3"
chinese_writing_2,写作2,selfStudy,chinese,TRUE,chinese_writing_2,10,写作2,"pressure,4"
chinese_writing_3,写作3,selfStudy,chinese,TRUE,chinese_writing_3,10,写作3,"pressure,5"
chinese_reading,阅读理解,selfStudy,chinese,TRUE,chinese_reading,10,阅读理解,"pressure,6"
chinese_idiom,成语,selfStudy,chinese,TRUE,chinese_idiom,10,成语,"pressure,7"
chinese_rhetoric,修辞,selfStudy,chinese,TRUE,chinese_rhetoric,10,修辞,"pressure,8"
chinese_poem,古诗,selfStudy,chinese,TRUE,chinese_poem,10,古诗,"pressure,9"
chinese_ancient_language,文言文,selfStudy,chinese,TRUE,chinese_ancient_language,10,文言文,"pressure,10"
chinese_masterpiece,名著,selfStudy,chinese,TRUE,chinese_masterpiece,10,名著,"pressure,11"
chinese_literature,文学基础,selfStudy,chinese,TRUE,chinese_literature,10,文学基础,"pressure,12"
chinese_exam_1,小学应试语文,selfStudy,chinese,TRUE,chinese_exam_1,10,小学应试语文,"pressure,13"
chinese_exam_2,初中应试语文,selfStudy,chinese,TRUE,chinese_exam_2,10,初中应试语文,"pressure,14"
chinese_exam_3,高中应试语文,selfStudy,chinese,TRUE,chinese_exam_3,10,高中应试语文,"pressure,15"
chinese_speech,演讲,selfStudy,chinese,TRUE,chinese_speech,10,演讲,"pressure,16"
chinese_debate,辩论,selfStudy,chinese,TRUE,chinese_debate,10,辩论,"pressure,17"
math_geo_1,小学几何,selfStudy,math,TRUE,math_geo_1,10,小学几何,"pressure,20"
math_geo_2,初中几何,selfStudy,math,TRUE,math_geo_2,10,初中几何,"pressure,21"
math_geo_3,高中几何,selfStudy,math,TRUE,math_geo_3,10,高中几何,"pressure,22"
math_algebra_1,小学代数,selfStudy,math,TRUE,math_algebra_1,10,小学代数,"pressure,23"
math_algebra_2,初中代数,selfStudy,math,TRUE,math_algebra_2,10,初中代数,"pressure,24"
math_algebra_3,高中代数,selfStudy,math,TRUE,math_algebra_3,10,高中代数,"pressure,25"
math_application,应用题,selfStudy,math,TRUE,math_application,10,应用题,"pressure,26"
math_probability,概率论,selfStudy,math,TRUE,math_probability,10,概率论,"pressure,27"
math_logic,逻辑学,selfStudy,math,TRUE,math_logic,10,逻辑学,"pressure,28"
